Date,Username,Tweet-text,Tweet Link,Retweets,Likes,Sentiment,Confidence
2018/02/28_07:47,https://twitter.com/Anil5,Mother coming from #RoutineImmunization session in Hoshangabad in #MadhyaPradesh #Vaccination #HealthDepartment Govt of MP #UNICEF #WHOpic.twitter.com/PGvlFYkLU5,https://twitter.com/Anil5/status/968875377530757120,9,11,neutral,0.8679001331
2018/02/28_02:00,https://twitter.com/Vaccinate4Life,Odisha vaccinates over 1 crore children in 19 days under Measles-Rubella campaign #vaccineswork #FullyImmunizEveryChild #SwasthaBharat @MoHFW_INDIA #measles #rubella #MR vaccination campaign http://www.newindianexpress.com/states/odisha/2018/feb/27/odisha-vaccinates-over-1-crore-children-in-19-days-under-measles-rubella-campaign-1779519.html … …,https://twitter.com/Vaccinate4Life/status/968787890351194114,14,53,neutral,0.5864761472
2018/02/27_22:27,https://twitter.com/Vaccinate4Life,India is at the forefront of vaccine development helping other countries battle enteric and diarrhoeal diseases https://www.dailyo.in/variety/child-immunisation-healthcare-vaccination-typhoid-universal-immunisation-programme/story/1/22574.html … #VaccinesWork #FullyImmunizeEveryChild #SwasthaBharat @MoHFW_INDIApic.twitter.com/Lzecf9Pfc1,https://twitter.com/Vaccinate4Life/status/968734347741335552,16,15,neutral,0.5891976953
2018/02/27_22:27,https://twitter.com/Vaccinate4Life,India is at the forefront of vaccine development helping other countries battle enteric and diarrhoeal diseases https://www.dailyo.in/variety/child-immunisation-healthcare-vaccination-typhoid-universal-immunisation-programme/story/1/22574.html … #VaccinesWork #FullyImmunizeEveryChild #SwasthaBharat @MoHFW_INDIApic.twitter.com/Lzecf9Pfc1,https://twitter.com/Vaccinate4Life/status/968734347741335552,16,15,neutral,0.5891976953
2018/02/27_21:15,https://twitter.com/MoHFW_INDIA,The mobile-based application “Kilkari” aims to create awareness among #pregnantwomen #parents and #health workers on the importance of ante and #postnatal care institutional delivery and #immunization. #SwasthaBharat #AyushmanBharat @JPNadda @AshwiniKChoubey @AnupriyaSPatelpic.twitter.com/zyeHFNDeUe,https://twitter.com/MoHFW_INDIA/status/968716150027837440,37,80,neutral,0.735193789
2018/02/27_21:15,https://twitter.com/MoHFW_INDIA,The mobile-based application “Kilkari” aims to create awareness among #pregnantwomen #parents and #health workers on the importance of ante and #postnatal care institutional delivery and #immunization. #SwasthaBharat #AyushmanBharat @JPNadda @AshwiniKChoubey @AnupriyaSPatelpic.twitter.com/zyeHFNDeUe,https://twitter.com/MoHFW_INDIA/status/968716150027837440,37,80,neutral,0.735193789
2018/02/27_20:59,https://twitter.com/MoHFW_INDIA,Braving the odds to bring life saving #measles #rubella vaccine to far flung and remote areas in #ArunachalPradesh during the #MR vaccination campaign: Saluting the commitment of frontline health workers. @JPNadda @AshwiniKChoubey @AnupriyaSPatel #SwasthaBharat #VaccinesWorkpic.twitter.com/wxfSp6bVOM,https://twitter.com/MoHFW_INDIA/status/968712309853097985,22,66,neutral,0.4674387872
2018/02/27_20:59,https://twitter.com/MoHFW_INDIA,Braving the odds to bring life saving #measles #rubella vaccine to far flung and remote areas in #ArunachalPradesh during the #MR vaccination campaign: Saluting the commitment of frontline health workers. @JPNadda @AshwiniKChoubey @AnupriyaSPatel #SwasthaBharat #VaccinesWorkpic.twitter.com/wxfSp6bVOM,https://twitter.com/MoHFW_INDIA/status/968712309853097985,22,66,neutral,0.4674387872
2018/02/27_20:59,https://twitter.com/MoHFW_INDIA,Braving the odds to bring life saving #measles #rubella vaccine to far flung and remote areas in #ArunachalPradesh during the #MR vaccination campaign: Saluting the commitment of frontline health workers. @JPNadda @AshwiniKChoubey @AnupriyaSPatel #SwasthaBharat #VaccinesWorkpic.twitter.com/wxfSp6bVOM,https://twitter.com/MoHFW_INDIA/status/968712309853097985,22,66,neutral,0.4674387872
2018/02/27_19:37,https://twitter.com/ChickenpoxFree,#RoutineImmunization of children is recommended in many countries.,https://twitter.com/ChickenpoxFree/status/968691491521597440,0,0,neutral,0.7000820041
